
filename,extension,size_bytes,probable_title,probable_author,year_guess,Genero,Ventas estimadas,Rating promedio (1-5),numero_resenas,premios,adaptaciones,semanas_lista_bestseller,traduccion_idiomas,PublicoObjetivo,RegionPrincipal,ano_publicacion_real,editorial
01 El ultimo deseo - Andrzej Sapkowski (1993).epub,.epub,411446,El último deseo,Andrzej Sapkowski,1993,Fantasía,30M+ (saga),3.94,12200,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1993,SuperNowa
01 El_Juego_de_Ender.pdf,.pdf,1285766,El Juego de Ender,Orson Scott Card,1985,Ciencia ficción,7M+,4.30,36100,"Hugo, Nebula",Film (2013),NA,34+,Juvenil/Adulto,EE.UU.,1985,Tor Books
02 Estación de tormentas - Andrzej Sapkowski (2013).epub,.epub,752110,Estación de tormentas,Andrzej Sapkowski,2013,Fantasía,30M+ (saga),NA,NA,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,2013,SuperNowa
03 La espada del destino - Andrzej Sapkowski (1992).epub,.epub,462738,La espada del destino,Andrzej Sapkowski,1992,Fantasía,30M+ (saga),4.11,48200,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1992,SuperNowa
04 La sangre de los elfos - Andrzej Sapkowski (1994).epub,.epub,401712,La sangre de los elfos,Andrzej Sapkowski,1994,Fantasía,30M+ (saga),3.94,36300,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1994,SuperNowa
05 Tiempo de odio - Andrzej Sapkowski (1995).epub,.epub,507253,Tiempo de odio,Andrzej Sapkowski,1995,Fantasía,30M+ (saga),3.92,25500,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1995,SuperNowa
06 Bautismo de fuego - Andrzej Sapkowski (1996).epub,.epub,507800,Bautismo de fuego,Andrzej Sapkowski,1996,Fantasía,30M+ (saga),NA,NA,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1996,SuperNowa
07 La torre de la golondrina - Andrzej Sapkowski (1997).epub,.epub,568402,La torre de la golondrina,Andrzej Sapkowski,1997,Fantasía,30M+ (saga),NA,NA,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1997,SuperNowa
08 La dama del lago - Andrzej Sapkowski (1999).epub,.epub,734327,La dama del lago,Andrzej Sapkowski,1999,Fantasía,30M+ (saga),4.05,19900,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,1999,SuperNowa
09 Camino sin retorno - Andrzej Sapkowski (2000).epub,.epub,678834,Camino sin retorno,Andrzej Sapkowski,2000,Fantasía,30M+ (saga),NA,NA,NA,"Netflix series, video games",NA,40+,Adulto,Polonia,2000,SuperNowa
1192.pdf,.pdf,370856,Elric de Melniboné,Michael Moorcock,1972,Fantasía épica clásica,NA,NA,NA,NA,"Cómics, proyectos de film",NA,NA,Adulto,Reino Unido,1972,Hutchinson
15-05-2021-082725Gone-Girl-Gillian-Flynn.pdf,.pdf,2704233,Gone Girl,Gillian Flynn,2012,Thriller psicológico,20M+,4.12,74800,Goodreads Choice Award (2012),Film (2014),91,40+,Adulto,EE.UU.,2012,Crown Publishing
