
filename,extension,size_bytes,probable_title,probable_author,year_guess,Genero,Ventas estimadas,Rating promedio (1-5),numero_resenas,premios,adaptaciones,semanas_lista_bestseller,traduccion_idiomas,PublicoObjetivo,RegionPrincipal,ano_publicacion_real,editorial
01 El ultimo deseo - Andrzej Sapkowski (1993).epub,.epub,411446,El último deseo,Andrzej Sapkowski,1993,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1993,SuperNowa
01 El_Juego_de_Ender.pdf,.pdf,1285766,El Juego de Ender,Orson Scott Card,1985,Ciencia ficción,Más de 10M,4.31,1400000,Premios Hugo y Nebula,Película de 2013,,34,Adultos jóvenes,Estados Unidos,1985,Tor Books
02 Estación de tormentas - Andrzej Sapkowski (2013).epub,.epub,752110,Estación de tormentas,Andrzej Sapkowski,2013,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,2013,SuperNowa
03 La espada del destino - Andrzej Sapkowski (1992).epub,.epub,462738,La espada del destino,Andrzej Sapkowski,1992,Fantasía,15M+ (saga completa),,,Premio Tähtifantasia (Finlandia),"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1992,SuperNowa
04 La sangre de los elfos - Andrzej Sapkowski (1994).epub,.epub,401712,La sangre de los elfos,Andrzej Sapkowski,1994,Fantasía,15M+ (saga completa),,,Premio David Gemmell (Mejor novela),"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1994,SuperNowa
05 Tiempo de odio - Andrzej Sapkowski (1995).epub,.epub,507253,Tiempo de odio,Andrzej Sapkowski,1995,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1995,SuperNowa
06 Bautismo de fuego - Andrzej Sapkowski (1996).epub,.epub,507800,Bautismo de fuego,Andrzej Sapkowski,1996,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1996,SuperNowa
07 La torre de la golondrina - Andrzej Sapkowski (1997).epub,.epub,568402,La torre de la golondrina,Andrzej Sapkowski,1997,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1997,SuperNowa
08 La dama del lago - Andrzej Sapkowski (1999).epub,.epub,734327,La dama del lago,Andrzej Sapkowski,1999,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,1999,SuperNowa
09 Camino sin retorno - Andrzej Sapkowski (2000).epub,.epub,678834,Camino sin retorno,Andrzej Sapkowski,2000,Fantasía,15M+ (saga completa),,,,"Película, series TV, videojuegos y cómics",,37,Adultos,Polonia y Europa,2000,SuperNowa
1192.pdf,.pdf,370856,Elric de Melniboné,Michael Moorcock,1972,Fantasía épica clásica,,,,,,,,,,,
15-05-2021-082725Gone-Girl-Gillian-Flynn.pdf,.pdf,2704233,Gone Girl,Gillian Flynn,2012,Thriller psicológico,,,,,,,,,,,
1675379391_Fahrenheit_451-Ray_Bradbury.pdf,.pdf,479179,Fahrenheit 451,Ray Bradbury,1953,Distopía / Ciencia ficción,Más de 10M,,,Prometheus Hall of Fame Award,"Películas (1966 y 2018), obras de teatro, radio, videojuego y novela gráfica",,33+,Adultos,Estados Unidos,1953,Ballantine Books
1984.pdf,.pdf,772181,1984,George Orwell,1949,Distopía política / Ciencia ficción,30M+,,,Prometheus Hall of Fame Award,"Películas (1956, 1984), teatro y radio",,65,Adultos,Reino Unido,1949,Secker & Warburg
3.txt,.txt,5352123,Los pazos de Ulloa,Emilia Pardo Bazán,1886,Realismo,,,,,,,,,,,
4.pdf,.pdf,14561004,El Paciente,Juan Gómez-Jurado,2014,Thriller psicológico / Suspenso,,,,,,,,,,,
53797_Los_hombres_que_no_amaban_a_las_mujeres.pdf,.pdf,1032242,Los hombres que no amaban a las mujeres,Stieg Larsson,2005,Thriller / Misterio / Policiaco,,,,,,,,,,,
6068_4.2.1.POESIA-EPICA.pdf,.pdf,792191,Selección de Textos de La Ilíada y La Odisea,Homero,s. VIII a.C.,Épica clásica / Mitología,,,,,,,,,,,
AAM8264.pdf,.pdf,1046993,El guardián entre el centeno,J. D. Salinger,1951,Ficción realista / Coming-of-age,,,,,,,,,,,
Aldous HGuxley Un mundo Feliz.pdf,.pdf,756965,Un mundo feliz,Aldous Huxley,1932,Distopía / Ciencia ficción,,,,,,,,,,,
Anónimo Poema del Mio Cid.pdf,.pdf,240775,Poema del Mio Cid,Anónimo,1200,Épica medieval,,,,,,,,,,,
Arcipreste de Hita Libro de buen amor.pdf,.pdf,4059050,Libro de buen amor,Arcipreste de Hita,1330,Literatura medieval / Satírica,,,,,,,,,,,
Area 81 - Stephen King.pdf,.pdf,544942,Área 81,Stephen King,2011,Terror / Suspenso,,,,,,,,,,,
Buenos presagios Edicion ilustrada - Neil Gaiman.pdf,.pdf,1878848,Buenos presagios,Terry Pratchett & Neil Gaiman,1990,Fantasía / Comedia,,,,,,,,,,,
